date,new_cases_per_million,total_cases_per_million,total_deaths_per_million,new_vaccinations_smoothed_per_million
2020-05-14,4.535,2082.475,94.09899999999999,
2020-05-15,9.011000000000001,2091.487,94.25399999999999,
2020-05-16,6.195,2097.681,94.744,
2020-05-17,7.364,2105.045,95.03,
2020-05-18,2.1719999999999997,2107.218,95.51899999999999,
2020-05-19,14.645,2121.862,96.45,
2020-05-20,8.295,2130.158,97.20200000000001,
2020-05-21,6.541,2136.698,97.90700000000001,
2020-05-22,8.224,2144.922,98.205,
2020-05-23,3.2939999999999996,2148.216,98.59899999999999,
2020-05-24,4.082,2152.298,98.861,
2020-05-25,3.2460000000000004,2155.544,99.17200000000001,
2020-05-26,7.1610000000000005,2162.706,99.92399999999999,
2020-05-27,3.867,2166.573,100.59200000000001,
2020-05-28,8.021,2174.593,101.09299999999999,
2020-05-29,8.665,2183.258,101.499,
2020-05-30,3.187,2186.445,101.809,
2020-05-31,2.638,2189.083,101.929,
2020-06-01,2.1959999999999997,2191.279,102.10799999999999,
2020-06-02,3.4019999999999997,2194.681,102.20299999999999,
2020-06-03,2.888,2197.569,102.669,
2020-06-04,4.189,2201.758,103.06299999999999,
2020-06-05,5.395,2207.153,103.337,
2020-06-06,6.278,2213.431,103.516,
2020-06-07,3.5810000000000004,2217.012,103.65899999999999,
2020-06-08,4.285,2221.297,103.779,
2020-06-09,4.738,2226.035,104.26799999999999,
2020-06-10,0.191,2226.226,104.459,
2020-06-11,2.017,2228.243,104.698,
2020-06-12,6.385,2234.629,104.829,
2020-06-13,0.489,2235.118,104.949,
2020-06-14,2.9960000000000004,2238.114,105.044,
2020-06-15,1.9569999999999999,2240.071,105.116,
2020-06-16,6.803,2246.874,105.271,
2020-06-17,4.2010000000000005,2251.076,105.641,
2020-06-18,14.478,2265.553,105.927,
2020-06-19,5.752999999999999,2271.306,106.07,
2020-06-20,4.428,2275.734,106.166,
2020-06-21,7.185,2282.919,106.166,
2020-06-22,5.92,2288.839,106.214,
2020-06-23,8.498,2297.3379999999997,106.39299999999999,
2020-06-24,4.667,2302.004,106.56,
2020-06-25,5.968,2307.972,106.70299999999999,
2020-06-26,7.937,2315.909,107.001,
2020-06-27,5.037,2320.946,107.037,
2020-06-28,2.805,2323.751,107.037,
2020-06-29,4.165,2327.916,107.133,
2020-06-30,4.488,2332.404,107.3,
2020-07-01,5.669,2338.073,107.359,
2020-07-02,5.693,2343.766,107.491,
2020-07-03,4.894,2348.66,107.539,
2020-07-04,4.989,2353.649,107.65799999999999,
2020-07-05,3.8789999999999996,2357.528,107.694,
2020-07-06,6.457000000000001,2363.985,107.682,
2020-07-07,3.33,2367.315,107.801,
2020-07-08,4.249,2371.564,107.96799999999999,
2020-07-09,3.605,2375.169,108.09899999999999,
2020-07-10,3.951,2379.119,108.171,
2020-07-11,4.5,2383.619,108.255,
2020-07-12,2.506,2386.125,108.26700000000001,
2020-07-13,3.115,2389.241,108.302,
2020-07-14,3.2939999999999996,2392.535,108.35,
2020-07-15,5.18,2397.715,108.374,
2020-07-16,6.684,2404.399,108.458,
2020-07-17,7.102,2411.5,108.469,
2020-07-18,4.547,2416.048,108.505,
2020-07-19,3.688,2419.736,108.51700000000001,
2020-07-20,7.042000000000001,2426.778,108.541,
2020-07-21,4.678999999999999,2431.456,108.601,
2020-07-22,6.672000000000001,2438.1279999999997,108.637,
2020-07-23,7.221,2445.349,108.73200000000001,
2020-07-24,8.856,2454.205,108.851,
2020-07-25,7.818,2462.0229999999997,108.899,
2020-07-26,4.643,2466.666,108.899,
2020-07-27,5.311,2471.9770000000003,108.911,
2020-07-28,7.102,2479.0789999999997,108.98299999999999,
2020-07-29,10.014,2489.093,109.03,
2020-07-30,11.804,2500.897,109.13799999999999,
2020-07-31,10.312000000000001,2511.209,109.17399999999999,
2020-08-01,7.233,2518.442,109.257,
2020-08-02,2.5660000000000003,2521.008,109.257,
2020-08-03,10.634,2531.643,109.257,
2020-08-04,8.558,2540.2,109.365,
2020-08-05,15.337,2555.5370000000003,109.556,
2020-08-06,11.052,2566.59,109.579,
2020-08-07,13.809000000000001,2580.399,109.74700000000001,
2020-08-08,8.437999999999999,2588.837,109.818,
2020-08-09,4.595,2593.4320000000002,109.83,
2020-08-10,14.561,2607.994,109.84200000000001,
2020-08-11,12.317,2620.311,109.902,
2020-08-12,15.743,2636.054,109.961,
2020-08-13,16.972,2653.026,110.009,
2020-08-14,18.023,2671.0490000000004,110.164,
2020-08-15,8.318999999999999,2679.368,110.22399999999999,
2020-08-16,6.195,2685.562,110.22399999999999,
2020-08-17,20.207,2705.7690000000002,110.236,
2020-08-18,16.948,2722.717,110.296,
2020-08-19,18.93,2741.647,110.391,
2020-08-20,18.93,2760.577,110.55799999999999,
2020-08-21,20.732,2781.309,110.594,
2020-08-22,9.93,2791.239,110.666,
2020-08-23,7.555,2798.7940000000003,110.70100000000001,
2020-08-24,19.430999999999997,2818.225,110.713,
2020-08-25,17.438,2835.663,110.773,
2020-08-26,17.032,2852.695,110.821,
2020-08-27,18.631,2871.3259999999996,110.88,
2020-08-28,18.56,2889.885,110.88,
2020-08-29,8.462,2898.348,110.988,
2020-08-30,5.61,2903.9570000000003,111.0,
2020-08-31,17.867,2921.825,111.036,
2020-09-01,14.478,2936.302,111.083,
2020-09-02,16.662,2952.9640000000004,111.262,
2020-09-03,17.055999999999997,2970.02,111.262,
2020-09-04,17.223,2987.243,111.322,
2020-09-05,9.25,2996.493,111.346,
